Acronym,fine-tuned-CNN,AverageDT,ConsensusNB
cbn,1.0,0.9346,0.9626
ssa,1.0,0.9569,0.9515
mdm,1.0,1.0,0.9951
aca,0.9929078014184396,0.9787,0.9716
stu,0.9910714285714286,0.9464,0.9509
prd,0.99,0.96,0.915
mdo,0.9847826086956522,0.9348,0.9152
hsa,0.983519404572036,0.9708,0.8612000000000001
ipu,0.98220640569395,0.9537,0.9217
aly,0.975609756097561,1.0,0.9951
ppc,0.9745762711864406,0.8955,0.8983
rno,0.9696969696969696,0.9434,0.9354
dre,0.96242774566474,0.9335,0.9422
sbi,0.9609756097560976,0.9854,0.9707
ptr,0.9541984732824428,0.9267,0.8824
ptc,0.9460227272727272,0.9545,0.929
mml,0.9434571890145396,0.9176,0.8885
cfa,0.9434343434343434,0.903,0.8909
ppt,0.9388646288209608,0.9651,0.9563
dps,0.938095238095238,0.8714,0.8905
gma,0.93717277486911,0.9511,0.9476
ath,0.9351851851851852,0.929,0.9383
oan,0.9343434343434344,0.8939,0.8534999999999999
dme,0.93359375,0.8906000000000001,0.8711
mmu,0.9329421626152556,0.8281999999999999,0.8223
cgr,0.93,0.93,0.925
ppy,0.9299065420560748,0.8956000000000001,0.866
cel,0.9279999999999999,0.9,0.892
pma,0.9262295081967212,0.8934000000000001,0.9139
bta,0.9257425742574258,0.8168000000000001,0.8045
eca,0.9188811188811188,0.8726999999999999,0.835
chi,0.9138576779026216,0.9551,0.9101
efu,0.9103585657370518,0.8725,0.8068000000000001
bdi,0.9085173501577288,0.9274,0.918
ggo,0.9034090909090908,0.9545,0.9063
gra,0.8996282527881041,0.9851,0.948
osa,0.8918918918918919,0.8649,0.8649
gga,0.8905405405405405,0.7959,0.7743000000000001
cin,0.882183908045977,0.8592,0.8103
ssc,0.8743455497382199,0.8062999999999999,0.7801
tgu,0.8542510121457491,0.9595,0.9271
mtr,0.8492537313432836,0.8626999999999999,0.8448
tca,0.8409090909090909,0.8136,0.8136
ame,0.7755905511811023,0.7323000000000001,0.752
bmo,0.6735112936344969,0.5236,0.5440999999999999
